시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,용산구,의료,남자,70-74세,*,0 ,0 ,*,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,남자,75-79세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,남자,85세이상,*,0 ,0 ,*,*,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,여자,65세미만,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,여자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,여자,70-74세,*,0 ,0 ,0 ,*,0 ,0 ,*,0 ,0 
서울특별시,용산구,의료,여자,75-79세,*,0 ,0 ,*,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,용산구,의료,여자,80-84세,5 ,*,0 ,*,*,*,0 ,0 ,0 ,0 
서울특별시,용산구,의료,여자,85세이상,6 ,0 ,*,*,*,*,0 ,0 ,0 ,0 
서울특별시,용산구,감경,남자,65세미만,10 ,0 ,0 ,*,5 ,*,0 ,0 ,0 ,*
서울특별시,용산구,감경,남자,65-69세,18 ,*,*,6 ,7 ,*,0 ,0 ,0 ,0 
서울특별시,용산구,감경,남자,70-74세,18 ,*,*,6 ,6 ,*,0 ,0 ,0 ,0 
서울특별시,용산구,감경,남자,75-79세,36 ,0 ,*,9 ,14 ,6 ,*,0 ,*,0 
서울특별시,용산구,감경,남자,80-84세,50 ,0 ,*,13 ,23 ,*,*,0 ,0 ,0 
서울특별시,용산구,감경,남자,85세이상,46 ,*,6 ,15 ,15 ,5 ,*,0 ,0 ,0 
서울특별시,용산구,감경,여자,65세미만,6 ,0 ,0 ,*,*,0 ,0 ,*,0 ,0 
서울특별시,용산구,감경,여자,65-69세,8 ,*,*,*,*,0 ,0 ,*,0 ,0 
서울특별시,용산구,감경,여자,70-74세,23 ,0 ,*,6 ,8 ,*,*,*,0 ,0 
서울특별시,용산구,감경,여자,75-79세,55 ,*,*,18 ,22 ,5 ,*,0 ,0 ,0 
서울특별시,용산구,감경,여자,80-84세,132 ,*,10 ,48 ,54 ,5 ,*,*,0 ,*
서울특별시,용산구,감경,여자,85세이상,220 ,16 ,27 ,50 ,97 ,15 ,*,*,*,0 
서울특별시,성동구,일반,남자,65세미만,43 ,7 ,*,*,10 ,0 ,0 ,13 ,*,0 
서울특별시,성동구,일반,남자,65-69세,82 ,*,5 ,15 ,20 ,*,*,10 ,8 ,*
서울특별시,성동구,일반,남자,70-74세,138 ,9 ,*,25 ,38 ,7 ,*,17 ,*,9 
서울특별시,성동구,일반,남자,75-79세,170 ,9 ,*,29 ,44 ,9 ,*,17 ,10 ,*
서울특별시,성동구,일반,남자,80-84세,314 ,9 ,18 ,50 ,99 ,36 ,15 ,12 ,15 ,*
서울특별시,성동구,일반,남자,85세이상,346 ,9 ,23 ,59 ,118 ,36 ,19 ,20 ,12 ,5 
서울특별시,성동구,일반,여자,65세미만,37 ,*,*,*,*,*,0 ,6 ,5 ,6 
서울특별시,성동구,일반,여자,65-69세,106 ,8 ,8 ,8 ,16 ,6 ,*,16 ,*,5 
서울특별시,성동구,일반,여자,70-74세,195 ,9 ,11 ,23 ,30 ,13 ,5 ,24 ,15 ,7 
서울특별시,성동구,일반,여자,75-79세,422 ,11 ,20 ,47 ,108 ,33 ,18 ,37 ,38 ,13 
서울특별시,성동구,일반,여자,80-84세,713 ,19 ,29 ,120 ,218 ,53 ,30 ,54 ,28 ,15 
